N,P,K,temperature,humidity,ph,rainfall,label
24.99,66.42,20.57,23.88,43.87,5.8,152.79,pigeonpeas
19.75,68.07,21.35,30.34,54.35,5.56,169.77,pigeonpeas
23.81,74.89,18.47,27.85,52.0,5.36,155.66,pigeonpeas
18.53,71.93,20.1,26.88,47.9,6.13,165.52,pigeonpeas
13.18,71.35,12.54,27.52,46.01,6.17,156.0,pigeonpeas
16.3,64.72,18.03,27.62,37.97,5.18,169.19,pigeonpeas
26.25,62.55,21.36,24.24,42.75,6.44,156.83,pigeonpeas
18.9,71.78,17.05,30.69,57.66,6.03,147.53,pigeonpeas
19.03,71.38,20.18,27.78,41.7,6.36,183.09,pigeonpeas
18.8,74.36,21.34,28.59,49.05,5.26,162.34,pigeonpeas
27.62,63.98,18.97,29.6,53.14,5.25,157.61,pigeonpeas
26.5,65.85,20.51,25.66,41.83,5.74,129.86,pigeonpeas
28.88,58.8,17.11,28.65,49.02,6.0,129.68,pigeonpeas
19.36,65.04,19.38,27.16,52.79,6.52,153.39,pigeonpeas
21.18,71.98,21.83,29.39,48.16,6.08,151.18,pigeonpeas
13.93,64.67,20.47,23.45,62.44,5.7,139.79,pigeonpeas
25.91,70.2,18.24,27.5,39.76,5.39,151.11,pigeonpeas
15.33,66.05,20.67,26.49,53.39,6.29,172.83,pigeonpeas
20.87,68.62,22.14,28.56,47.24,5.41,159.43,pigeonpeas
15.61,61.26,13.85,28.64,51.96,6.45,131.88,pigeonpeas
17.64,67.43,23.48,26.28,50.31,5.69,147.33,pigeonpeas
16.65,52.04,18.99,26.28,44.43,6.44,136.93,pigeonpeas
17.57,66.07,21.28,27.48,49.24,6.07,143.18,pigeonpeas
17.84,58.85,23.59,25.91,38.81,5.75,142.8,pigeonpeas
17.81,73.03,15.88,29.38,51.12,5.59,141.84,pigeonpeas
23.33,70.89,17.87,26.96,49.59,5.66,130.17,pigeonpeas
15.58,69.33,19.13,21.89,51.29,5.97,147.09,pigeonpeas
20.88,74.61,17.65,26.95,53.39,5.83,140.59,pigeonpeas
24.87,62.26,25.2,25.62,49.94,5.56,105.06,pigeonpeas
17.95,75.74,17.43,24.44,48.84,5.73,179.79,pigeonpeas
17.13,71.66,18.33,25.23,43.69,5.83,165.33,pigeonpeas
19.08,65.82,20.61,27.92,44.54,4.95,143.36,pigeonpeas
24.72,72.68,16.39,30.36,54.03,5.98,149.28,pigeonpeas
20.78,61.47,18.81,28.33,55.28,5.41,131.43,pigeonpeas
17.88,62.88,20.95,26.49,46.91,5.34,174.44,pigeonpeas
21.94,63.96,19.0,28.61,48.33,5.13,177.46,pigeonpeas
15.59,64.36,19.72,26.78,43.58,5.08,151.35,pigeonpeas
22.73,61.72,18.41,26.31,53.96,5.26,164.35,pigeonpeas
21.63,73.12,15.46,25.39,51.43,5.52,151.63,pigeonpeas
18.77,65.71,20.96,24.2,57.81,6.58,128.95,pigeonpeas
16.65,68.76,25.26,26.92,43.71,5.59,142.82,pigeonpeas
16.45,64.15,20.06,28.02,46.21,5.87,150.98,pigeonpeas
22.14,57.9,20.68,27.51,49.26,5.96,142.18,pigeonpeas
24.92,68.35,22.08,26.87,51.33,5.85,145.72,pigeonpeas
17.45,57.44,16.19,25.81,47.02,5.77,147.63,pigeonpeas
21.83,66.66,25.11,28.92,43.74,5.32,147.79,pigeonpeas
11.65,60.16,20.61,25.07,52.51,6.38,149.78,pigeonpeas
17.66,76.94,24.9,29.25,51.71,6.52,133.09,pigeonpeas
19.88,71.56,17.8,25.7,43.52,5.13,138.24,pigeonpeas
16.36,67.53,25.45,26.2,54.88,5.39,129.73,pigeonpeas
16.25,73.32,22.33,24.77,53.95,5.69,163.67,pigeonpeas
17.33,62.77,21.66,26.7,48.77,5.41,117.42,pigeonpeas
21.17,69.72,20.7,29.65,48.5,6.0,166.3,pigeonpeas
19.25,68.0,19.25,28.73,50.87,5.51,169.8,pigeonpeas
11.05,68.32,23.6,29.66,43.79,6.67,144.47,pigeonpeas
11.52,73.36,20.42,28.74,48.25,6.28,109.95,pigeonpeas
17.57,70.66,14.1,25.49,37.34,5.89,143.58,pigeonpeas
21.83,68.44,16.65,27.04,52.48,6.21,148.04,pigeonpeas
9.01,58.73,19.44,26.14,40.29,6.24,133.84,pigeonpeas
18.0,62.2,20.93,30.36,55.62,5.57,141.27,pigeonpeas
17.9,66.39,19.83,25.31,46.45,5.47,171.95,pigeonpeas
25.55,67.47,23.66,29.49,47.04,5.83,158.97,pigeonpeas
18.46,61.35,14.15,29.49,44.96,6.14,135.13,pigeonpeas
21.53,79.06,20.43,31.36,46.66,5.86,125.04,pigeonpeas
20.57,74.58,14.55,26.88,55.19,5.17,144.09,pigeonpeas
11.48,70.01,22.28,29.12,35.66,5.48,145.8,pigeonpeas
23.07,67.36,19.72,32.26,54.48,5.77,156.44,pigeonpeas
20.86,65.94,21.26,26.46,49.79,5.77,140.97,pigeonpeas
22.03,62.24,17.41,24.63,42.06,6.59,156.67,pigeonpeas
35.7,67.39,23.84,23.94,42.72,5.25,178.03,pigeonpeas
11.66,68.29,23.13,29.13,56.48,6.0,161.23,pigeonpeas
26.9,60.79,21.75,23.93,43.37,6.4,148.28,pigeonpeas
18.85,68.67,19.61,26.96,42.33,6.71,146.25,pigeonpeas
21.15,66.22,21.74,28.57,53.79,5.64,143.65,pigeonpeas
25.72,43.88,23.2,25.42,50.98,6.45,42.0,mothbeans
18.49,44.4,24.36,25.0,52.68,6.79,46.33,mothbeans
21.18,58.25,17.25,25.77,59.88,6.81,59.11,mothbeans
21.2,48.0,17.49,28.52,49.43,6.99,56.32,mothbeans
18.99,51.91,19.58,26.41,59.66,6.25,50.62,mothbeans
15.51,44.05,20.92,29.23,51.91,7.04,52.46,mothbeans
22.29,44.1,18.43,28.27,58.5,5.72,49.23,mothbeans
20.76,53.41,24.06,24.26,47.57,6.55,59.14,mothbeans
23.0,41.25,21.27,29.51,55.54,6.6,49.8,mothbeans
18.87,45.92,20.12,29.82,50.25,7.05,52.39,mothbeans
25.88,48.17,15.69,26.21,47.54,6.81,57.88,mothbeans
17.49,48.56,16.05,29.04,54.07,6.24,46.34,mothbeans
27.85,47.1,20.84,26.49,57.24,6.41,60.35,mothbeans
14.01,49.98,13.6,28.4,49.82,6.88,41.82,mothbeans
22.74,51.46,23.04,25.67,47.2,6.77,60.78,mothbeans
22.9,51.67,19.53,24.61,52.83,6.57,48.76,mothbeans
17.82,43.07,29.73,27.43,52.85,6.61,49.54,mothbeans
22.7,46.58,26.92,27.95,55.39,7.08,39.66,mothbeans
26.12,53.97,19.46,27.4,57.0,6.59,48.27,mothbeans
12.13,52.47,19.68,25.83,52.96,6.76,44.76,mothbeans
23.01,41.14,22.99,27.4,60.62,7.67,47.35,mothbeans
11.03,49.76,25.11,28.74,54.1,6.23,50.18,mothbeans
17.14,38.11,15.09,28.11,51.81,6.06,56.75,mothbeans
27.52,48.23,14.64,28.57,46.75,7.11,52.25,mothbeans
18.67,57.49,18.13,26.86,52.15,6.53,52.85,mothbeans
16.3,43.26,21.75,30.54,51.85,6.67,44.43,mothbeans
20.21,43.83,21.49,25.85,57.04,6.49,45.72,mothbeans
29.27,51.82,23.21,29.18,55.05,6.7,61.79,mothbeans
13.67,40.29,16.4,30.56,48.48,7.44,46.59,mothbeans
16.79,44.84,13.05,29.16,53.89,7.12,60.94,mothbeans
26.99,50.98,22.57,27.79,55.89,7.14,49.54,mothbeans
28.43,44.83,17.52,27.14,59.31,6.23,51.01,mothbeans
20.59,46.82,13.94,30.27,56.75,6.34,57.42,mothbeans
16.04,51.72,20.44,25.35,56.24,5.66,58.63,mothbeans
29.38,50.11,22.38,26.26,53.44,6.48,50.34,mothbeans
27.38,49.33,19.63,27.4,54.75,7.18,48.67,mothbeans
23.72,46.3,18.63,30.68,58.2,7.01,50.66,mothbeans
17.75,49.85,19.52,28.96,47.87,6.71,53.03,mothbeans
20.8,47.38,18.89,26.26,51.8,6.79,56.35,mothbeans
20.36,50.29,15.96,27.58,50.11,6.52,51.03,mothbeans
22.32,45.52,17.86,26.97,54.72,6.88,54.71,mothbeans
26.8,47.09,21.56,26.78,58.12,7.11,60.83,mothbeans
24.52,43.05,20.97,30.16,50.81,6.15,53.29,mothbeans
16.69,47.82,20.5,25.46,43.64,6.92,52.87,mothbeans
26.51,43.94,17.01,31.42,51.55,7.17,41.89,mothbeans
22.25,42.43,19.46,29.86,56.85,6.63,35.22,mothbeans
23.75,49.29,13.47,30.38,55.35,7.08,53.33,mothbeans
26.87,49.06,20.54,27.27,54.91,7.93,50.43,mothbeans
16.55,51.91,24.29,27.9,52.08,6.76,47.91,mothbeans
20.86,45.84,15.58,25.33,48.08,6.96,52.46,mothbeans
18.87,50.04,18.24,27.15,55.26,6.5,50.64,mothbeans
14.73,50.75,20.99,29.19,49.86,6.87,57.77,mothbeans
22.39,50.22,23.76,30.79,61.94,6.98,51.52,mothbeans
31.05,43.87,18.66,25.99,55.48,6.88,46.52,mothbeans
13.64,48.75,17.92,27.47,50.88,6.39,56.94,mothbeans
20.87,49.82,14.09,27.9,50.75,6.88,49.7,mothbeans
23.56,48.04,20.31,25.41,52.83,7.38,54.16,mothbeans
21.49,37.57,26.13,29.38,52.24,6.98,48.14,mothbeans
20.55,48.8,20.83,26.75,57.67,7.18,47.1,mothbeans
15.8,59.06,19.93,27.81,53.95,6.71,51.51,mothbeans
21.93,46.2,20.97,27.3,50.27,7.1,51.08,mothbeans
17.97,44.36,19.97,26.62,60.76,6.91,53.88,mothbeans
12.24,49.87,17.56,28.19,53.4,6.42,49.39,mothbeans
25.78,49.56,22.47,27.77,56.28,6.93,39.98,mothbeans
24.83,53.96,20.68,27.46,50.77,6.4,48.4,mothbeans
21.21,41.71,20.05,26.74,54.65,6.55,55.76,mothbeans
21.92,51.66,17.07,28.84,54.44,6.88,49.22,mothbeans
25.3,50.95,23.91,31.51,45.64,6.92,49.52,mothbeans
21.9,47.29,21.99,28.48,61.26,6.32,56.92,mothbeans
24.62,49.69,18.34,30.19,58.36,7.22,46.73,mothbeans
19.81,53.15,23.01,25.42,51.61,7.03,41.74,mothbeans
26.25,52.36,18.51,28.52,48.79,6.52,50.04,mothbeans
22.28,42.28,17.65,26.01,54.59,6.18,48.09,mothbeans
21.78,52.1,17.72,25.25,53.55,6.74,45.2,mothbeans
15.92,47.68,14.69,26.72,54.62,6.62,49.95,mothbeans
22.15,48.36,21.41,30.58,53.97,6.85,53.95,mothbeans
17.67,48.37,14.51,30.1,55.22,6.65,50.94,mothbeans
18.45,47.25,16.31,28.69,58.99,6.0,52.84,mothbeans
17.74,53.96,13.77,25.13,55.47,6.64,61.88,mothbeans
16.74,47.58,19.74,27.81,49.0,6.68,48.94,mothbeans
29.5,42.4,19.55,28.8,58.65,7.05,52.67,mothbeans
26.33,46.03,19.02,28.55,59.76,6.52,47.94,mothbeans
28.68,48.89,16.87,24.51,65.81,7.47,45.92,mothbeans
16.11,54.15,16.48,26.42,48.71,6.04,47.49,mothbeans
21.29,51.02,21.39,28.07,54.17,7.32,48.13,mothbeans
15.83,43.75,18.35,29.27,44.87,6.71,53.16,mothbeans
18.22,60.43,20.95,23.81,55.41,7.14,65.09,mothbeans
17.33,49.32,17.34,27.88,51.01,6.83,46.7,mothbeans
25.96,54.38,20.54,28.49,60.89,7.26,48.5,mothbeans
19.42,47.24,23.91,29.9,50.1,6.65,50.62,mothbeans
25.27,50.67,21.76,29.59,46.44,6.36,53.37,mothbeans
23.42,52.2,18.76,29.37,51.31,7.37,52.58,mothbeans
30.21,54.09,20.77,26.6,45.3,6.75,58.7,mothbeans
15.08,53.29,19.28,24.38,56.2,6.89,36.44,mothbeans
26.04,52.36,20.02,27.41,44.94,7.29,36.68,mothbeans
25.59,46.42,19.02,30.2,53.31,6.39,48.02,mothbeans
17.11,45.14,19.51,30.99,44.89,7.04,57.58,mothbeans
25.03,49.66,20.64,29.62,51.92,6.56,41.61,mothbeans
22.34,52.67,17.02,29.06,59.77,6.75,32.95,mothbeans
20.09,46.89,16.95,28.96,54.64,6.83,54.43,mothbeans
20.97,45.88,21.46,26.58,84.85,6.4,50.54,mungbean
15.64,41.17,23.22,25.79,88.31,6.27,47.71,mungbean
16.06,43.13,17.36,25.33,90.41,6.9,41.02,mungbean
16.12,51.52,21.05,29.33,89.44,6.87,44.46,mungbean
20.44,41.46,19.62,28.07,82.22,6.87,46.69,mungbean
17.49,40.01,22.54,29.26,84.74,6.66,40.02,mungbean
21.98,44.85,19.65,29.88,84.46,7.12,44.3,mungbean
8.58,51.66,18.85,29.03,86.97,6.55,51.26,mungbean
16.57,47.02,21.62,29.82,87.56,6.99,55.14,mungbean
15.5,45.68,22.63,28.36,82.98,6.69,45.9,mungbean
18.97,48.22,17.99,26.13,85.7,6.52,51.78,mungbean
17.85,39.27,19.82,30.62,79.44,6.88,38.43,mungbean
23.19,50.47,16.82,27.32,89.83,6.82,51.3,mungbean
12.56,49.92,12.51,26.63,83.96,6.81,43.98,mungbean
20.18,45.95,20.6,28.14,85.67,6.72,49.54,mungbean
22.23,53.03,21.83,26.67,84.57,6.69,46.76,mungbean
27.43,42.36,20.79,27.67,88.94,7.42,54.6,mungbean
18.07,53.64,14.15,29.19,76.99,7.06,43.63,mungbean
21.3,48.77,18.95,29.2,85.45,6.92,51.14,mungbean
12.78,46.32,13.34,26.7,85.18,6.73,46.6,mungbean
10.43,47.9,24.11,27.52,84.14,7.0,47.21,mungbean
23.38,47.46,16.74,30.65,90.68,6.86,47.08,mungbean
19.98,54.1,23.77,29.49,82.84,6.71,43.77,mungbean
24.71,42.62,22.84,32.65,87.82,6.61,47.93,mungbean
14.51,44.19,17.3,30.86,86.57,6.68,47.69,mungbean
22.08,53.18,16.6,30.79,89.28,5.75,49.21,mungbean
27.48,45.02,21.05,25.72,83.5,6.76,48.42,mungbean
21.68,52.5,17.47,30.03,83.3,6.55,51.99,mungbean
21.11,56.5,20.31,28.39,88.79,7.18,52.62,mungbean
20.03,45.99,18.55,27.4,86.78,6.71,42.75,mungbean
13.72,51.41,14.66,28.84,80.87,6.34,52.34,mungbean
25.42,42.23,13.31,30.39,83.88,6.69,42.07,mungbean
17.56,51.77,20.68,29.5,86.66,6.39,50.94,mungbean
22.02,49.0,18.32,26.74,88.01,6.84,51.1,mungbean
13.75,50.37,18.34,29.98,83.46,6.79,38.44,mungbean
15.28,44.77,22.09,27.22,76.76,6.99,48.46,mungbean
25.74,39.69,23.52,28.93,87.07,6.46,45.66,mungbean
18.61,50.52,19.18,27.89,81.84,6.71,44.21,mungbean
25.81,37.68,18.98,28.06,79.45,6.29,54.75,mungbean
19.69,46.41,21.5,30.03,77.0,6.91,44.73,mungbean
12.63,52.71,15.93,26.42,87.94,6.86,43.97,mungbean
23.57,48.96,20.67,32.39,85.89,6.85,48.38,mungbean
17.64,57.74,21.66,24.86,84.82,6.7,51.43,mungbean
22.79,53.13,22.04,27.3,89.67,6.82,47.29,mungbean
20.1,44.73,14.19,29.24,87.41,7.18,53.83,mungbean
13.83,48.14,17.72,29.67,90.35,6.61,50.65,mungbean
20.66,47.76,17.37,28.3,81.32,6.74,37.11,mungbean
28.78,40.09,20.3,28.39,85.4,6.37,45.35,mungbean
21.97,43.3,21.44,29.32,80.65,6.44,45.19,mungbean
19.77,45.2,24.49,28.04,84.81,6.73,50.4,mungbean
24.3,37.82,18.52,31.29,84.75,7.03,34.88,mungbean
20.84,48.24,18.51,30.18,87.38,6.62,60.75,mungbean
20.84,46.75,23.45,30.25,85.64,6.63,50.66,mungbean
15.63,39.64,20.89,26.57,87.37,6.58,48.74,mungbean
20.94,50.02,23.8,28.34,87.61,6.54,53.91,mungbean
24.14,51.58,20.87,27.9,91.96,6.79,59.72,mungbean
16.66,49.14,16.53,26.49,84.55,6.25,52.35,mungbean
25.7,46.38,16.0,29.22,82.68,7.08,52.74,mungbean
19.63,50.96,15.35,27.42,86.24,6.5,48.65,mungbean
16.45,51.4,21.99,29.81,83.09,6.92,47.29,mungbean
23.99,49.54,23.57,26.36,89.95,6.32,45.62,mungbean
18.85,43.88,25.55,31.94,84.65,6.9,43.87,mungbean
23.04,49.38,22.53,26.71,83.8,6.9,44.56,mungbean
18.83,53.98,23.49,28.94,84.09,6.82,41.25,mungbean
19.76,45.02,18.26,30.08,87.66,6.4,47.62,mungbean
21.97,58.49,16.53,27.36,85.03,6.77,39.58,mungbean
21.16,45.37,22.55,30.2,83.57,6.35,48.95,mungbean
12.02,48.16,21.25,26.04,90.5,6.62,47.82,mungbean
15.52,44.64,20.32,31.4,82.93,7.01,48.73,mungbean
23.72,49.12,21.16,28.53,85.61,6.94,45.39,mungbean
19.47,39.29,20.97,27.31,87.46,6.7,63.38,mungbean
17.91,45.27,23.85,27.9,80.61,6.41,54.8,mungbean
14.57,42.54,23.88,30.12,86.94,6.89,41.78,mungbean
15.68,48.68,21.63,27.33,82.33,6.71,49.16,mungbean
11.91,52.97,22.54,27.0,87.97,6.0,44.96,mungbean
19.59,51.23,21.54,28.06,82.61,6.93,42.93,mungbean
17.61,36.14,18.62,26.15,87.58,6.69,41.3,mungbean
16.13,58.21,22.27,32.14,88.82,7.06,50.16,mungbean
19.73,49.48,15.82,27.37,88.08,6.37,44.59,mungbean
21.46,44.12,23.16,30.16,86.25,5.75,52.84,mungbean
28.37,48.79,16.42,28.92,84.81,6.78,52.97,mungbean
13.95,48.88,20.86,26.53,83.77,6.79,54.87,mungbean
24.64,44.67,17.46,28.49,89.91,6.19,43.74,mungbean
23.89,48.99,21.66,30.07,83.4,6.41,50.38,mungbean
16.88,44.96,19.9,28.12,82.39,7.53,51.16,mungbean
20.81,45.98,15.22,30.89,87.5,6.61,45.63,mungbean
18.17,44.57,21.26,30.54,83.11,6.92,44.14,mungbean
20.74,40.84,18.27,30.34,82.65,6.5,56.05,mungbean
26.04,48.73,22.64,27.58,81.17,6.07,49.14,mungbean
22.42,50.93,20.0,26.34,84.05,6.65,51.18,mungbean
22.03,50.57,21.19,27.27,85.25,6.62,43.89,mungbean
18.28,52.1,17.13,28.89,86.23,6.58,41.9,mungbean
14.06,49.62,18.23,29.59,88.35,6.67,45.15,mungbean
19.17,45.34,18.62,24.16,87.08,6.78,47.38,mungbean
24.83,52.2,22.57,28.48,84.93,6.65,42.68,mungbean
13.89,41.21,25.03,28.82,84.91,6.32,47.95,mungbean
15.78,43.5,17.58,27.94,87.03,6.85,39.56,mungbean
20.51,43.18,23.23,31.08,89.32,6.12,42.4,mungbean
16.06,53.4,13.49,29.34,85.88,6.08,51.35,mungbean
16.83,52.71,16.42,31.12,84.09,6.92,51.02,mungbean
38.04,64.88,22.09,29.24,64.27,6.62,71.92,blackgram
34.91,64.73,20.51,28.88,63.85,6.94,70.73,blackgram
34.86,58.02,19.74,30.2,68.53,7.31,68.16,blackgram
38.13,65.35,19.23,31.44,67.31,7.14,57.33,blackgram
43.22,70.66,20.2,34.66,64.07,6.76,63.61,blackgram
44.64,60.63,19.6,31.55,69.43,7.1,72.89,blackgram
37.52,72.24,15.91,32.22,64.58,6.49,59.64,blackgram
34.23,69.44,19.14,28.89,61.69,7.56,49.28,blackgram
41.34,63.33,15.78,27.85,62.06,7.02,65.41,blackgram
35.88,66.29,19.24,30.02,61.19,7.55,66.01,blackgram
37.41,74.99,17.56,30.11,64.01,6.89,67.95,blackgram
46.63,70.67,26.62,27.74,70.03,6.89,72.1,blackgram
44.14,67.04,18.88,29.55,61.88,6.79,71.46,blackgram
40.79,65.81,14.79,30.7,65.85,7.45,68.81,blackgram
33.64,67.38,18.6,30.62,62.47,6.82,75.37,blackgram
41.06,64.44,20.56,30.91,64.06,7.36,56.37,blackgram
45.31,56.48,24.02,30.48,59.06,6.95,70.53,blackgram
38.12,77.21,17.23,28.89,64.22,6.31,71.39,blackgram
46.76,67.78,14.25,28.87,64.33,6.87,58.32,blackgram
46.46,68.99,21.45,27.5,67.26,6.63,56.48,blackgram
48.32,66.71,14.86,33.47,65.99,7.11,61.78,blackgram
41.53,63.32,17.69,29.93,60.31,6.62,62.37,blackgram
42.94,66.07,18.23,29.45,69.44,7.47,72.27,blackgram
47.07,59.0,18.79,28.04,65.94,7.06,62.7,blackgram
42.24,78.39,21.07,35.77,65.89,7.03,61.01,blackgram
37.49,60.83,16.95,27.75,65.06,7.36,62.72,blackgram
37.76,61.84,18.18,29.04,63.03,7.49,74.83,blackgram
41.19,64.8,18.96,30.73,65.97,7.09,67.09,blackgram
33.55,73.44,19.45,31.1,67.0,6.79,65.75,blackgram
39.28,67.07,19.29,31.82,58.11,6.39,66.23,blackgram
45.48,60.82,20.31,33.52,62.94,6.83,76.04,blackgram
29.04,73.27,21.53,30.91,64.08,6.85,61.76,blackgram
47.67,70.66,20.18,27.79,66.12,7.14,76.21,blackgram
45.61,69.69,20.36,29.39,69.87,6.96,68.47,blackgram
37.7,70.58,14.25,30.52,62.01,7.38,65.88,blackgram
42.72,78.97,19.15,34.04,63.11,6.85,84.51,blackgram
40.02,77.93,20.44,27.1,63.05,7.08,59.61,blackgram
46.15,63.57,21.19,32.31,61.89,7.57,64.52,blackgram
44.91,75.12,16.92,30.26,63.71,7.24,58.37,blackgram
33.0,68.92,17.02,31.58,68.18,7.08,73.67,blackgram
42.94,69.5,17.28,29.7,60.88,6.86,78.82,blackgram
38.97,58.54,20.61,28.22,66.81,6.85,78.69,blackgram
40.41,66.15,22.1,31.4,58.29,6.76,75.57,blackgram
36.36,62.94,17.78,31.21,62.85,6.88,65.62,blackgram
48.74,71.14,21.72,31.84,63.78,7.4,64.44,blackgram
45.2,72.36,19.37,29.87,71.8,7.01,55.3,blackgram
36.3,56.63,18.63,28.7,64.0,6.56,81.25,blackgram
33.33,66.89,18.37,26.78,56.3,7.81,70.28,blackgram
38.07,72.61,21.24,31.54,57.1,7.23,63.56,blackgram
42.17,66.07,19.98,30.75,65.24,6.54,76.3,blackgram
41.2,70.65,25.83,27.97,67.56,6.92,60.19,blackgram
46.27,68.76,16.44,28.82,66.6,7.14,69.85,blackgram
43.95,68.71,20.55,28.97,65.77,7.78,65.79,blackgram
44.85,65.64,17.41,26.93,69.75,6.66,71.47,blackgram
41.63,60.92,16.39,28.26,62.94,7.49,66.55,blackgram
33.05,61.39,18.97,27.63,68.68,7.66,56.84,blackgram
39.02,70.55,19.41,29.08,58.57,6.85,67.53,blackgram
45.3,67.1,27.75,28.42,61.48,6.99,74.34,blackgram
39.74,66.31,18.45,26.65,57.87,6.69,66.8,blackgram
42.52,64.88,15.61,33.95,64.0,7.02,72.43,blackgram
38.41,65.47,19.82,32.41,64.91,7.09,59.68,blackgram
34.85,72.23,12.78,28.34,65.56,7.36,66.82,blackgram
39.38,65.32,18.72,30.44,65.35,7.54,62.63,blackgram
41.55,60.29,19.05,30.73,61.39,6.8,72.23,blackgram
36.72,70.72,21.38,32.28,64.34,6.31,67.22,blackgram
38.82,65.98,21.92,28.26,59.11,7.09,71.83,blackgram
35.3,67.16,17.49,32.08,70.55,7.22,74.61,blackgram
45.6,75.04,18.55,28.8,63.89,7.2,71.84,blackgram
38.53,66.9,16.7,27.23,63.14,6.97,68.91,blackgram
47.26,68.45,15.62,31.35,71.46,7.15,60.01,blackgram
47.64,61.11,19.93,32.48,60.13,7.71,66.98,blackgram
39.59,65.9,15.18,35.08,60.6,7.25,63.27,blackgram
34.96,70.05,17.76,27.5,60.72,6.95,64.59,blackgram
29.57,59.22,16.01,31.3,64.83,6.9,64.38,blackgram
32.64,68.0,20.65,29.08,66.83,7.03,60.14,blackgram
33.13,67.5,24.4,31.47,68.06,7.75,53.3,blackgram
46.89,67.21,15.1,26.96,75.39,7.03,62.32,blackgram
40.58,72.19,13.44,27.37,56.1,7.09,68.35,blackgram
41.95,68.67,18.63,28.35,67.53,6.91,57.56,blackgram
28.9,74.39,19.05,30.06,62.87,7.54,67.11,blackgram
34.01,62.03,19.66,28.62,62.75,7.88,80.3,blackgram
44.44,67.68,17.66,31.22,62.62,7.28,74.16,blackgram
41.43,67.42,18.4,31.95,61.46,7.13,78.5,blackgram
39.26,61.65,20.1,31.1,71.84,7.11,69.74,blackgram
42.82,71.78,22.12,33.14,68.47,6.15,75.17,blackgram
48.18,78.62,13.13,30.73,65.19,7.4,61.93,blackgram
38.89,66.91,17.89,27.47,70.5,7.15,62.49,blackgram
40.35,69.53,19.64,32.63,59.05,7.27,47.83,blackgram
40.96,67.42,16.25,28.69,59.78,6.82,75.3,blackgram
51.96,63.43,24.19,31.72,56.39,6.95,77.78,blackgram
29.5,57.9,17.09,33.05,62.3,6.94,63.13,blackgram
43.42,63.47,18.88,30.81,65.75,7.51,65.22,blackgram
39.43,60.04,20.67,26.91,65.51,6.95,61.72,blackgram
42.83,75.52,17.23,28.06,65.7,7.93,69.68,blackgram
36.71,66.42,13.46,32.55,59.46,7.27,74.87,blackgram
39.76,65.27,17.71,29.56,68.31,6.59,54.8,blackgram
43.56,71.45,22.09,30.06,66.06,7.05,69.87,blackgram
55.56,61.39,17.99,31.42,68.03,6.84,65.06,blackgram
44.04,63.17,16.46,31.29,57.53,6.22,67.79,blackgram
35.76,67.34,21.78,30.46,66.35,7.74,70.21,blackgram
17.44,67.87,19.89,24.37,60.34,6.72,42.24,lentil
17.69,66.91,18.29,19.96,62.28,6.97,39.51,lentil
17.36,68.29,17.77,24.23,61.03,6.56,56.46,lentil
20.91,64.98,24.46,26.41,62.61,7.0,54.34,lentil
19.26,66.28,22.53,22.89,63.94,6.63,39.19,lentil
18.66,57.57,19.41,23.8,68.15,7.22,52.91,lentil
14.19,72.87,12.09,24.18,63.52,7.6,43.0,lentil
16.86,69.49,17.92,19.28,58.46,6.64,45.65,lentil
20.7,64.13,27.11,27.51,69.36,7.06,44.68,lentil
18.11,77.49,18.31,22.88,61.45,6.68,41.7,lentil
19.98,68.44,22.31,25.41,64.57,7.21,49.92,lentil
23.3,62.82,23.33,24.34,66.59,6.52,45.63,lentil
21.12,72.28,19.66,26.76,65.6,7.04,42.62,lentil
18.28,69.99,16.47,25.23,69.18,6.64,38.48,lentil
16.47,69.97,11.69,24.08,66.72,6.84,40.53,lentil
10.34,65.87,21.05,22.89,61.35,6.59,36.79,lentil
17.49,70.25,16.56,25.94,73.51,7.15,45.06,lentil
17.02,66.69,19.53,21.13,65.58,6.65,39.02,lentil
19.17,70.78,15.25,25.66,64.21,7.07,43.67,lentil
17.54,58.48,18.2,22.52,68.66,6.8,51.85,lentil
17.04,65.83,19.1,26.75,65.8,6.87,51.0,lentil
12.66,76.61,19.81,24.79,66.4,6.94,44.84,lentil
15.18,64.16,15.66,25.66,74.77,6.67,44.56,lentil
19.43,64.98,22.59,24.65,63.7,6.96,54.4,lentil
23.15,65.76,17.21,21.35,63.53,7.36,47.6,lentil
17.71,61.93,13.98,22.95,65.27,6.67,43.36,lentil
18.98,56.96,18.67,25.71,69.09,7.25,37.87,lentil
20.86,66.85,19.1,24.8,58.77,7.35,46.97,lentil
15.57,68.68,19.48,26.63,56.94,6.66,49.15,lentil
19.1,67.74,23.09,25.23,62.45,6.46,41.84,lentil
15.78,67.28,18.29,22.76,58.26,6.99,46.46,lentil
20.59,68.22,18.64,23.07,63.1,6.74,43.18,lentil
18.45,73.11,15.69,24.69,66.81,7.46,44.08,lentil
18.9,67.05,21.46,20.33,61.24,6.91,32.56,lentil
15.65,65.13,19.55,27.51,59.09,6.66,43.89,lentil
20.12,66.59,17.74,25.3,65.08,6.56,49.85,lentil
24.25,70.9,13.29,26.71,68.25,7.23,41.84,lentil
14.98,75.06,23.33,21.65,58.02,6.73,45.26,lentil
16.98,64.86,15.32,26.74,68.08,6.91,41.22,lentil
18.69,68.49,17.23,28.52,68.07,7.19,46.8,lentil
20.36,69.69,20.08,22.12,68.62,6.75,43.92,lentil
